L, a, b, x, y
146.60, 174.81, 190.24, 353.60, 373.77
146.60, 174.81, 190.24, 353.60, 373.77
146.60, 174.81, 190.24, 353.60, 373.77
146.41, 174.30, 190.26, 353.51, 373.93
146.39, 174.31, 190.25, 353.51, 373.93
146.40, 174.28, 190.23, 353.51, 373.93
146.39, 174.28, 190.21, 353.51, 373.93
146.51, 174.24, 190.11, 353.48, 373.97
146.51, 174.25, 190.10, 353.48, 373.97
146.53, 174.40, 190.10, 353.48, 373.97
146.12, 174.91, 190.13, 353.49, 373.98
146.45, 175.24, 190.29, 353.46, 374.04
146.50, 175.21, 190.28, 353.46, 374.04
146.48, 175.22, 190.27, 353.46, 374.04
146.50, 175.21, 190.29, 353.46, 374.04
146.76, 175.59, 190.37, 353.55, 373.96
146.76, 175.61, 190.41, 353.55, 373.96
146.74, 175.61, 190.43, 353.55, 373.96
146.35, 175.51, 190.25, 353.56, 373.87
146.70, 175.14, 190.15, 353.51, 373.89
146.74, 175.15, 190.18, 353.51, 373.89
146.88, 174.95, 190.20, 353.55, 373.86
146.87, 174.98, 190.23, 353.55, 373.86
146.84, 174.90, 190.07, 353.56, 373.77
146.82, 174.91, 190.06, 353.56, 373.77
146.87, 174.50, 190.09, 353.56, 373.81
146.78, 174.52, 190.16, 353.56, 373.81
146.55, 175.04, 190.05, 353.63, 373.67
146.52, 175.06, 190.00, 353.63, 373.67
146.46, 174.54, 190.03, 353.57, 373.69
146.50, 174.70, 190.27, 353.54, 373.98
146.50, 174.70, 190.27, 353.54, 373.98
146.50, 174.70, 190.27, 353.54, 373.98
146.50, 174.70, 190.27, 353.54, 373.98
146.50, 174.70, 190.27, 353.54, 373.98
146.50, 174.70, 190.27, 353.54, 373.98
146.50, 174.70, 190.27, 353.54, 373.98
146.50, 174.70, 190.27, 353.54, 373.98
146.50, 174.70, 190.27, 353.54, 373.98
146.50, 174.70, 190.27, 353.54, 373.98
146.50, 174.70, 190.27, 353.54, 373.98
146.50, 174.71, 190.27, 353.54, 373.98
146.50, 174.70, 190.27, 353.54, 373.98
146.61, 174.92, 190.32, 353.54, 373.98
146.58, 174.93, 190.32, 353.54, 373.98
146.63, 174.93, 190.32, 353.54, 373.98
146.61, 174.94, 190.31, 353.54, 373.98
146.32, 175.22, 190.32, 353.58, 373.93
146.07, 175.21, 190.30, 353.58, 373.93
146.08, 175.21, 190.30, 353.58, 373.93
146.08, 175.21, 190.30, 353.58, 373.93
146.36, 175.20, 190.32, 353.58, 373.93
146.46, 175.16, 190.34, 353.58, 373.93
146.47, 175.16, 190.34, 353.58, 373.93
146.48, 175.16, 190.34, 353.58, 373.93
146.58, 175.30, 190.38, 353.58, 373.93
146.65, 175.52, 190.56, 353.57, 373.97
146.66, 175.52, 190.55, 353.57, 373.97
146.61, 175.51, 190.57, 353.57, 373.97
146.87, 175.44, 190.50, 353.54, 373.98
146.55, 175.62, 190.45, 353.57, 373.97
146.55, 175.62, 190.45, 353.57, 373.97
146.55, 175.62, 190.45, 353.57, 373.97
146.18, 175.64, 190.26, 353.61, 373.91
146.18, 175.64, 190.26, 353.61, 373.91
146.23, 175.60, 190.26, 353.61, 373.91
146.20, 175.70, 190.32, 353.61, 373.91
146.32, 175.49, 190.45, 353.58, 373.93
146.32, 175.49, 190.45, 353.58, 373.93
146.33, 175.56, 190.44, 353.58, 373.93
146.21, 175.49, 190.44, 353.58, 373.93
146.28, 175.56, 190.42, 353.58, 373.93
146.23, 175.56, 190.45, 353.58, 373.93
146.24, 175.56, 190.44, 353.58, 373.93
146.22, 175.56, 190.45, 353.58, 373.93
146.34, 175.57, 190.46, 353.58, 373.93
146.32, 175.56, 190.46, 353.58, 373.93
146.55, 175.57, 190.46, 353.58, 373.93
146.51, 175.53, 190.50, 353.58, 373.93
146.73, 175.64, 190.41, 353.58, 373.93
146.73, 175.62, 190.39, 353.58, 373.93
146.83, 175.56, 190.48, 353.58, 373.93
146.94, 175.39, 190.42, 353.54, 373.98
147.12, 175.61, 190.53, 353.54, 373.98
147.12, 175.61, 190.53, 353.54, 373.98
147.06, 175.66, 190.53, 353.54, 373.98
146.99, 175.63, 190.65, 353.54, 373.98
147.06, 175.65, 190.64, 353.54, 373.98
147.06, 175.65, 190.65, 353.54, 373.98
147.03, 175.64, 190.64, 353.54, 373.98
146.98, 175.11, 190.44, 353.52, 374.00
146.98, 175.11, 190.44, 353.52, 374.00
146.98, 175.11, 190.44, 353.52, 374.00
146.98, 175.11, 190.44, 353.52, 374.00
146.98, 175.11, 190.44, 353.52, 374.00
146.98, 175.11, 190.44, 353.52, 374.00
146.98, 175.11, 190.44, 353.52, 374.00
146.98, 175.11, 190.44, 353.52, 374.00
146.98, 175.11, 190.44, 353.52, 374.00
146.99, 175.11, 190.43, 353.52, 374.00
146.98, 175.11, 190.44, 353.52, 374.00
146.98, 175.12, 190.44, 353.52, 374.00
146.96, 175.12, 190.44, 353.52, 374.00
146.97, 175.12, 190.44, 353.52, 374.00
146.94, 175.13, 190.44, 353.52, 374.00
146.98, 175.11, 190.45, 353.52, 374.00
146.94, 175.11, 190.46, 353.52, 374.00
146.98, 175.12, 190.39, 353.52, 374.00
146.98, 175.10, 190.40, 353.52, 374.00
147.02, 175.10, 190.38, 353.52, 374.00
146.99, 175.09, 190.42, 353.52, 374.00
146.91, 175.02, 190.38, 353.57, 373.95
146.84, 175.01, 190.34, 353.57, 373.95
146.86, 175.02, 190.32, 353.57, 373.95
146.86, 175.00, 190.31, 353.57, 373.95
147.15, 175.07, 190.42, 353.55, 373.95
147.09, 175.06, 190.42, 353.55, 373.95
147.13, 175.09, 190.45, 353.55, 373.95
147.29, 175.03, 190.61, 353.50, 374.00
147.28, 175.29, 190.47, 353.48, 374.05
147.07, 174.89, 190.46, 353.43, 374.16
147.07, 174.89, 190.46, 353.43, 374.16
147.07, 174.89, 190.46, 353.43, 374.16
147.02, 175.07, 190.57, 353.45, 374.16
146.98, 175.09, 190.56, 353.45, 374.16
146.98, 175.11, 190.55, 353.45, 374.16
146.96, 175.07, 190.52, 353.45, 374.16
147.02, 175.25, 190.53, 353.45, 374.16
146.98, 175.22, 190.54, 353.45, 374.16
146.98, 175.21, 190.55, 353.45, 374.16
147.02, 175.21, 190.58, 353.45, 374.16
146.80, 175.33, 190.64, 353.45, 374.16
146.80, 175.33, 190.64, 353.45, 374.16
146.82, 175.34, 190.61, 353.45, 374.16
146.71, 175.32, 190.56, 353.45, 374.16
147.43, 175.25, 190.75, 353.43, 374.17
147.45, 175.22, 190.75, 353.43, 374.17
147.52, 175.14, 190.76, 353.43, 374.17
147.49, 175.17, 190.76, 353.43, 374.17
147.54, 175.12, 190.81, 353.43, 374.17
147.63, 175.07, 190.74, 353.40, 374.16
147.71, 175.04, 190.74, 353.40, 374.16
147.65, 175.09, 190.68, 353.40, 374.16
147.68, 175.13, 190.67, 353.40, 374.16
147.67, 175.12, 190.66, 353.40, 374.16
147.67, 175.11, 190.69, 353.40, 374.16
147.55, 175.13, 190.68, 353.40, 374.16
147.63, 175.13, 190.69, 353.40, 374.16
147.60, 175.13, 190.69, 353.40, 374.16
147.58, 175.14, 190.68, 353.40, 374.16
145.87, 175.72, 190.43, 353.57, 373.95
145.87, 175.72, 190.43, 353.57, 373.95
145.87, 175.72, 190.43, 353.57, 373.95
145.87, 175.72, 190.43, 353.57, 373.95
145.87, 175.72, 190.43, 353.57, 373.95
145.87, 175.72, 190.43, 353.57, 373.95
145.87, 175.72, 190.43, 353.57, 373.95
145.87, 175.72, 190.43, 353.57, 373.95
145.87, 175.72, 190.43, 353.57, 373.95
145.86, 175.72, 190.44, 353.57, 373.95
145.79, 175.71, 190.43, 353.57, 373.95
145.73, 175.72, 190.42, 353.57, 373.95
145.83, 175.64, 190.34, 353.54, 373.95
145.94, 175.64, 190.33, 353.54, 373.95
146.02, 175.63, 190.36, 353.54, 373.95
146.11, 175.63, 190.36, 353.54, 373.95
146.14, 175.62, 190.37, 353.54, 373.95
146.18, 175.68, 190.37, 353.54, 373.95
146.13, 175.61, 190.35, 353.54, 373.95
146.18, 175.66, 190.36, 353.54, 373.95
146.10, 175.63, 190.37, 353.54, 373.95
146.45, 175.52, 190.37, 353.54, 373.98
146.36, 175.52, 190.35, 353.54, 373.98
146.36, 175.50, 190.33, 353.54, 373.98
146.36, 175.52, 190.35, 353.54, 373.98
146.53, 175.54, 190.37, 353.54, 373.98
146.40, 175.52, 190.34, 353.54, 373.98
146.32, 175.42, 190.34, 353.54, 373.98
146.22, 175.43, 190.40, 353.54, 373.98
146.38, 175.55, 190.38, 353.54, 373.98
146.17, 175.75, 190.40, 353.54, 373.98
146.17, 175.75, 190.40, 353.54, 373.98
146.17, 175.75, 190.40, 353.54, 373.98
146.27, 176.02, 190.46, 353.54, 373.98
146.27, 176.02, 190.46, 353.54, 373.98
146.32, 176.08, 190.46, 353.54, 373.98
146.06, 175.81, 190.41, 353.54, 373.98
146.51, 175.60, 190.45, 353.51, 373.99
147.08, 175.17, 190.43, 353.47, 374.00
147.08, 175.17, 190.43, 353.47, 374.00
147.08, 175.17, 190.43, 353.47, 374.00
147.18, 175.13, 190.45, 353.47, 374.00
147.17, 175.15, 190.46, 353.47, 374.00
147.19, 175.15, 190.43, 353.47, 374.00
147.14, 175.16, 190.41, 353.47, 374.00
147.24, 175.15, 190.46, 353.47, 374.00
147.22, 175.14, 190.42, 353.47, 374.00
147.22, 175.15, 190.45, 353.47, 374.00
147.07, 175.19, 190.43, 353.47, 374.00
147.30, 175.05, 190.36, 353.47, 374.00
147.25, 174.88, 190.35, 353.47, 374.00
147.19, 174.84, 190.42, 353.47, 374.00
147.22, 174.78, 190.40, 353.47, 374.00
147.27, 174.82, 190.37, 353.47, 374.00
147.25, 174.80, 190.35, 353.47, 374.00
147.25, 174.83, 190.35, 353.47, 374.00
147.24, 174.81, 190.35, 353.47, 374.00
147.48, 175.13, 190.35, 353.47, 374.00
147.44, 175.12, 190.36, 353.47, 374.00
147.46, 175.12, 190.38, 353.47, 374.00
146.73, 175.02, 190.19, 353.45, 374.09
146.73, 175.02, 190.19, 353.45, 374.09
146.73, 175.02, 190.19, 353.45, 374.09
146.73, 175.02, 190.19, 353.45, 374.09
146.73, 175.02, 190.19, 353.45, 374.09
146.73, 175.02, 190.19, 353.45, 374.09
146.73, 175.02, 190.19, 353.45, 374.09
146.73, 175.02, 190.19, 353.45, 374.09
146.73, 175.02, 190.19, 353.45, 374.09
146.73, 175.02, 190.19, 353.45, 374.09
146.73, 175.02, 190.19, 353.45, 374.09
146.73, 175.02, 190.19, 353.45, 374.09
146.73, 175.02, 190.19, 353.45, 374.09
146.69, 175.07, 190.16, 353.45, 374.09
146.70, 175.02, 190.17, 353.45, 374.09
146.70, 175.02, 190.17, 353.45, 374.09
146.64, 175.01, 190.16, 353.45, 374.09
146.50, 175.04, 190.17, 353.45, 374.09
146.47, 175.05, 190.15, 353.45, 374.09
146.55, 175.05, 190.15, 353.45, 374.09
146.53, 175.02, 190.15, 353.45, 374.09
146.56, 175.08, 190.13, 353.45, 374.09
146.53, 175.01, 190.15, 353.45, 374.09
146.52, 175.05, 190.17, 353.45, 374.09
146.54, 175.01, 190.15, 353.45, 374.09
146.98, 175.11, 190.30, 353.43, 374.09
146.82, 175.02, 190.29, 353.43, 374.09
146.81, 175.02, 190.27, 353.43, 374.09
146.82, 175.02, 190.29, 353.43, 374.09
147.28, 175.47, 190.35, 353.51, 374.01
146.77, 175.36, 190.40, 353.51, 374.01
146.77, 175.36, 190.40, 353.51, 374.01
146.77, 175.36, 190.40, 353.51, 374.01
146.90, 175.38, 190.45, 353.51, 374.01
146.88, 175.37, 190.44, 353.51, 374.01
146.92, 175.40, 190.40, 353.51, 374.01
146.86, 175.29, 190.48, 353.51, 374.01
146.91, 175.26, 190.37, 353.49, 374.01
146.98, 175.25, 190.38, 353.49, 374.01
146.98, 175.25, 190.38, 353.49, 374.01
146.98, 175.25, 190.38, 353.49, 374.01
147.05, 175.26, 190.34, 353.49, 374.01
147.01, 175.26, 190.43, 353.49, 374.01
147.03, 175.26, 190.44, 353.49, 374.01
146.90, 175.16, 190.43, 353.49, 374.01
146.97, 175.20, 190.43, 353.49, 374.01
146.92, 175.12, 190.45, 353.49, 374.01
147.01, 175.18, 190.44, 353.49, 374.01
146.95, 175.16, 190.45, 353.49, 374.01
147.06, 175.18, 190.46, 353.49, 374.01
147.06, 175.18, 190.46, 353.49, 374.01
147.11, 175.12, 190.47, 353.49, 374.01
147.02, 175.19, 190.46, 353.49, 374.01
147.09, 175.31, 190.50, 353.51, 374.01
147.07, 175.36, 190.50, 353.51, 374.01
147.13, 175.36, 190.48, 353.51, 374.01
147.08, 175.33, 190.59, 353.51, 374.01
147.20, 175.30, 190.61, 353.51, 374.01
147.19, 175.29, 190.62, 353.51, 374.01
147.11, 175.10, 190.65, 353.49, 374.01
146.00, 175.42, 189.99, 353.57, 373.91
146.00, 175.42, 189.99, 353.57, 373.91
146.00, 175.42, 189.99, 353.57, 373.91
146.00, 175.42, 189.99, 353.57, 373.91
146.00, 175.42, 189.99, 353.57, 373.91
146.00, 175.42, 189.99, 353.57, 373.91
146.00, 175.42, 189.99, 353.57, 373.91
146.00, 175.42, 189.99, 353.57, 373.91
146.00, 175.42, 189.99, 353.57, 373.91
146.09, 175.40, 189.96, 353.57, 373.91
146.10, 175.40, 189.96, 353.57, 373.91
146.19, 175.39, 189.94, 353.57, 373.91
146.22, 175.39, 189.98, 353.57, 373.91
146.27, 175.41, 189.95, 353.57, 373.91
146.18, 175.41, 189.97, 353.57, 373.91
146.16, 175.42, 189.97, 353.57, 373.91
146.01, 175.42, 189.97, 353.57, 373.91
146.07, 175.29, 189.91, 353.57, 373.91
146.61, 173.23, 189.08, 354.42, 374.74
146.61, 173.23, 189.08, 354.42, 374.74
146.02, 174.92, 189.63, 356.02, 375.61
145.97, 174.83, 189.49, 356.02, 375.61
146.94, 174.51, 188.69, 358.57, 377.97
146.94, 174.51, 188.69, 358.57, 377.97
148.76, 175.79, 190.52, 362.45, 381.09
149.25, 175.13, 190.31, 362.58, 380.98
148.48, 174.44, 188.76, 367.36, 385.23
148.80, 173.88, 188.54, 367.48, 385.14
150.42, 174.78, 190.06, 374.78, 389.53
150.42, 174.78, 190.06, 374.78, 389.53
149.77, 173.51, 188.44, 382.49, 394.38
149.77, 173.51, 188.44, 382.49, 394.38
151.19, 172.03, 188.90, 391.30, 400.32
151.19, 172.03, 188.90, 391.30, 400.32
150.58, 173.16, 188.16, 401.16, 405.97
150.71, 173.37, 188.16, 401.13, 406.00
153.42, 171.81, 187.38, 411.55, 411.75
153.37, 171.84, 187.35, 411.55, 411.75
155.41, 169.38, 186.88, 421.46, 419.14
155.40, 169.32, 186.95, 421.51, 419.04
154.53, 170.23, 186.49, 432.26, 423.50
154.53, 170.23, 186.49, 432.26, 423.50
151.61, 170.72, 186.72, 442.04, 427.73
151.61, 170.72, 186.72, 442.04, 427.73
151.38, 172.84, 187.34, 450.82, 431.56
151.38, 172.84, 187.34, 450.82, 431.56
151.52, 174.67, 188.09, 458.77, 434.80
151.52, 174.67, 188.09, 458.77, 434.80
151.34, 174.43, 189.26, 465.26, 437.92
151.34, 174.43, 189.26, 465.26, 437.92
149.11, 175.30, 188.05, 470.43, 440.53
149.18, 175.28, 188.52, 470.47, 440.47
149.97, 175.35, 189.21, 474.12, 442.83
149.97, 175.35, 189.21, 474.12, 442.83
151.00, 173.86, 188.32, 476.88, 444.08
150.85, 174.42, 188.35, 476.88, 444.07
148.46, 175.90, 189.28, 478.66, 445.30
148.45, 175.81, 189.23, 478.66, 445.30
148.70, 176.26, 189.99, 479.52, 445.41
148.70, 176.26, 189.99, 479.52, 445.41
148.47, 175.33, 190.21, 479.52, 445.29
148.60, 175.34, 190.20, 479.52, 445.29
148.61, 175.32, 190.20, 479.52, 445.29
148.71, 175.31, 190.20, 479.52, 445.29
148.69, 175.30, 190.21, 479.52, 445.29
148.69, 175.30, 190.21, 479.52, 445.29
149.13, 172.53, 189.27, 480.06, 445.92
149.13, 172.53, 189.27, 480.06, 445.92
149.89, 174.61, 190.48, 481.52, 448.11
149.89, 174.61, 190.48, 481.52, 448.11
148.95, 174.54, 188.74, 484.09, 451.63
148.95, 174.54, 188.74, 484.09, 451.63
149.73, 175.31, 188.62, 487.25, 457.35
149.73, 175.31, 188.62, 487.25, 457.35
149.23, 173.84, 187.51, 492.10, 464.04
149.25, 173.80, 187.51, 492.10, 464.04
150.62, 174.22, 188.00, 497.10, 472.39
150.70, 174.12, 188.00, 497.10, 472.39
151.08, 175.30, 187.95, 503.27, 481.27
150.98, 175.36, 187.95, 503.27, 481.27
150.95, 175.41, 187.33, 509.49, 488.78
150.95, 175.41, 187.33, 509.49, 488.78
148.64, 176.49, 187.39, 515.63, 495.44
148.64, 176.49, 187.39, 515.63, 495.44
148.59, 176.66, 187.80, 520.28, 501.35
148.59, 176.66, 187.80, 520.28, 501.35
148.49, 175.94, 187.89, 524.10, 506.48
148.35, 175.94, 187.91, 524.16, 506.45
146.96, 178.52, 188.74, 527.65, 510.24
146.96, 178.52, 188.74, 527.65, 510.24
145.73, 177.20, 187.68, 529.54, 513.68
145.73, 177.20, 187.68, 529.54, 513.68
146.08, 178.26, 188.54, 531.19, 515.85
146.08, 178.26, 188.54, 531.19, 515.85
145.68, 177.62, 188.21, 532.34, 517.15
145.71, 177.77, 188.23, 532.34, 517.15
145.12, 178.18, 188.38, 532.97, 517.41
145.12, 178.18, 188.38, 532.97, 517.41
144.81, 178.69, 188.35, 533.21, 518.06
144.68, 178.32, 188.25, 533.21, 518.06
144.93, 179.40, 188.29, 534.51, 519.62
144.83, 179.42, 188.28, 534.51, 519.62
144.42, 179.07, 187.91, 536.53, 522.30
144.75, 179.78, 188.11, 536.53, 522.30
144.78, 178.81, 188.31, 539.94, 526.31
144.81, 178.81, 188.31, 539.94, 526.31
144.57, 178.62, 187.40, 544.06, 531.50
144.55, 178.63, 187.41, 544.06, 531.50
144.34, 179.61, 187.52, 548.65, 537.65
144.35, 179.61, 187.51, 548.65, 537.65
144.88, 179.13, 187.67, 554.57, 545.01
144.69, 179.34, 187.70, 554.54, 545.01
143.26, 180.44, 187.67, 560.77, 551.29
143.26, 180.44, 187.67, 560.77, 551.29
142.13, 181.44, 187.95, 565.99, 557.36
142.14, 181.20, 187.91, 566.04, 557.34
142.30, 181.23, 188.56, 570.89, 562.04
142.30, 181.23, 188.56, 570.89, 562.04
141.61, 181.59, 188.91, 574.37, 565.84
141.61, 181.59, 188.91, 574.37, 565.84
140.36, 183.41, 189.36, 577.22, 568.70
140.36, 183.41, 189.36, 577.22, 568.70
139.11, 182.08, 188.06, 579.06, 571.07
139.11, 182.08, 188.06, 579.06, 571.07
139.84, 184.07, 189.21, 580.49, 572.46
139.82, 184.13, 189.23, 580.49, 572.46
138.58, 181.99, 188.30, 581.09, 574.79
138.58, 181.99, 188.30, 581.09, 574.79
140.40, 181.63, 189.08, 582.73, 576.96
140.40, 181.63, 189.08, 582.73, 576.96
139.16, 182.58, 188.71, 584.26, 579.01
139.16, 182.58, 188.71, 584.26, 579.01
137.79, 183.39, 188.73, 585.69, 579.89
137.79, 183.39, 188.73, 585.69, 579.89
138.38, 183.80, 188.97, 586.86, 580.14
138.39, 183.80, 188.97, 586.86, 580.14
138.62, 183.87, 189.03, 586.89, 580.11
138.38, 183.58, 188.77, 586.92, 580.02
138.49, 183.80, 188.95, 586.80, 580.19
138.42, 183.97, 188.96, 586.79, 580.17
138.24, 184.05, 188.96, 586.76, 580.19
138.54, 184.64, 189.10, 586.78, 580.14
138.43, 184.67, 189.10, 586.76, 580.10
138.48, 184.75, 189.10, 586.76, 580.10
138.35, 184.53, 189.06, 586.72, 580.10
138.35, 184.53, 189.06, 586.72, 580.10
138.95, 183.23, 188.43, 586.64, 579.52
138.95, 183.23, 188.43, 586.64, 579.52
139.06, 185.08, 189.31, 586.83, 579.02
139.06, 185.08, 189.31, 586.83, 579.02
139.58, 183.26, 188.87, 587.00, 578.93
139.69, 183.35, 188.91, 587.00, 578.93
139.16, 184.24, 188.98, 586.97, 579.13
139.40, 184.01, 188.99, 586.92, 579.13
139.47, 183.74, 189.06, 586.93, 579.08
139.50, 183.74, 189.05, 586.93, 579.08
139.48, 183.70, 189.07, 586.93, 579.08
139.90, 183.78, 189.06, 586.91, 579.04
139.84, 183.69, 189.07, 586.91, 579.04
140.03, 183.70, 189.07, 586.93, 578.99
139.96, 183.65, 189.10, 586.93, 578.99
139.92, 184.10, 189.14, 586.94, 578.94
139.88, 184.07, 189.16, 586.94, 578.94
139.96, 184.08, 189.17, 586.94, 578.94
139.72, 184.11, 189.22, 586.92, 578.96
139.90, 184.24, 189.28, 586.94, 578.94
139.88, 184.25, 189.33, 586.94, 578.94
139.97, 184.33, 189.35, 586.94, 578.94
139.86, 184.28, 189.35, 586.94, 578.94
140.04, 184.67, 189.40, 586.95, 578.86
139.94, 184.65, 189.41, 586.95, 578.86
139.88, 184.57, 189.43, 586.95, 578.86
139.46, 184.68, 189.45, 586.94, 578.82
139.52, 184.93, 189.43, 586.94, 578.87
139.72, 184.74, 189.41, 586.95, 578.82
139.70, 184.93, 189.57, 587.01, 578.81
139.75, 184.95, 189.53, 587.00, 578.76
139.75, 184.92, 189.47, 586.98, 578.81
139.66, 184.60, 189.41, 587.03, 578.71
139.68, 184.66, 189.44, 587.03, 578.71
139.54, 183.81, 189.42, 587.16, 578.64
139.57, 183.84, 189.41, 587.16, 578.64
139.55, 183.83, 189.42, 587.16, 578.64
